mpfr 4.1.0.p13-2
mpg123 1.29.3-1
mtdev 1.1.6-1
mtools 1:4.0.37-1
mutter 41.4-1
nano 6.2-1
nautilus 41.2-1
ncurses 6.3-2
ndctl 72.1-1
neon 0.32.2-1
neovim-nightly-bin 0.7.0+dev+914+g7717f38d3-1
net-snmp 5.9.1-3
netpbm 10.73.37-1
nettle 3.7.3-1
networkmanager 1.34.0-1
nftables 1:1.0.1-3
ninja 1.10.2-1
nm-connection-editor 1.24.0-1
node-gyp 8.4.1-1
nodejs 17.5.0-1
nodejs-nopt 5.0.0-2
noto-fonts-emoji 20211101-1
npm 8.5.0-1
npth 1.6-3
nspr 4.33-1
nss 3.75-1
ntfs-3g 2021.8.22-1
numactl 2.0.14-2
nvidia 510.54-2
nvidia-utils 510.54-1
oath-toolkit 2.6.7-1
obs-studio 27.1.3-4
ocl-icd 2.3.1-1
oniguruma 6.9.7.1-1
openal 1.21.1-3
openbsd-netcat 1.218_2-1
opencore-amr 0.1.5-5
openexr 3.1.4-1
openjpeg2 2.4.0-1
openmpi 4.1.2-1
openssh 8.8p1-1
openssl 1.1.1.m-1
opus 1.3.1-3
orc 0.4.32-1
orca 41.2-1
os-prober 1.79-1
osinfo-db 20211216-1
ostree 2022.1-1
p11-kit 0.24.1-1
packettracer 8.1.0-1
pacman 6.0.1-3
pacman-mirrorlist 20220116-1
pam 1.5.2-1
pambase 20211210-1
pandoc 2.14.2-35
pango 1:1.50.4-1
pangomm 2.46.2-1
parted 3.4-2
patch 2.7.6-8
pciutils 3.7.0-2
pcre 8.45-1
pcre2 10.39-1
pcsclite 1.9.5-1
perl 5.34.0-3
perl-alien-build 2.46-1
perl-alien-libxml2 0.17-2
perl-capture-tiny 0.48-5
perl-clone 0.45-3
perl-dbi 1.643-3
perl-error 0.17029-3
perl-ffi-checklib 0.28-2
perl-file-chdir 0.1011-4
perl-file-which 1.27-1
perl-mailtools 2.21-5
perl-parse-yapp 1.21-4
perl-path-tiny 0.122-1
perl-timedate 2.33-3
perl-xml-libxml 2.0207-2
perl-xml-namespacesupport 1.12-4
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-4
phodav 2.5-1
php 8.1.3-1
php-apache 8.1.3-1
php-dblib 8.1.3-1
phpmyadmin 5.1.3-1
picom 9.1-2
pinentry 1.2.0-1
pipewire 1:0.3.47-2
pipewire-media-session 1:0.4.1-1
pixman 0.40.0-1
pkgconf 1.8.0-1
pocl 1.8-2
polari 41.0+r11+g0f0a4b54-1
polkit 0.120-4
poppler 22.02.0-2
poppler-glib 22.02.0-2
popt 1.18-3
portaudio 1:19.7.0-1
potrace 1.16-2
power-profiles-daemon 0.10.1-2
procps-ng 3.3.17-1
protobuf 3.19.4-1
psmisc 23.4-1
pulseaudio 15.0-2
pulseaudio-alsa 1:1.2.6-3
pulseaudio-bluetooth 15.0-2
